Rainfall_mm,Temperature_C,Humidity_Percent,Elevation_m,Forest_Type,NDVI,Species_Count,Biodiversity_Health_Score,Species_Risk_Level,Ecosystem_Stability_Index
1810.89,21.21,81.1,1914.43,Semi-Evergreen,0.369,284,49.14,High,47.68
3827.5,19.99,42.92,1377.88,Deciduous,0.185,375,51.15,Medium,39.55
3061.98,15.28,54.26,2893.5,Grassland,0.214,345,55.9,Medium,45.12
2595.3,28.22,76.43,656.94,Grassland,0.263,43,22.87,High,26.25
1046.07,24.3,63.75,1763.57,Semi-Evergreen,0.283,237,32.79,High,31.85
1045.98,35.97,81.7,2100.63,Semi-Evergreen,0.318,373,38.4,High,39.11
703.29,10.96,97.28,2476.69,Semi-Evergreen,0.33,84,43.05,High,44.86
3531.62,29.32,38.16,1220.91,Deciduous,0.51,234,40.89,High,38.9
2603.9,32.89,79.67,2060.77,Evergreen,0.559,420,61.74,Medium,60.51
2978.25,32.78,46.12,909.6,Semi-Evergreen,0.378,119,28.85,High,28.68
572.05,36.58,59.01,1306.43,Semi-Evergreen,0.917,440,42.56,High,52.09
3894.68,31.87,32.3,2686.88,Evergreen,0.598,325,60.54,Medium,53.77
3413.55,37.83,39.51,2849.72,Evergreen,0.809,269,57.26,Medium,57.19
1243.19,19.98,52.38,2156.45,Evergreen,0.932,448,65.01,Medium,67.19
1136.39,25.1,53.94,1123.06,Semi-Evergreen,0.247,295,29.81,High,27.55
1141.92,10.42,92.97,2460.17,Deciduous,0.485,334,59.01,Medium,58.86
1564.85,10.21,81.93,77.6,Evergreen,0.49,334,54.0,Medium,53.88
2336.65,17.2,98.05,308.24,Grassland,0.419,109,38.17,High,43.53
2011.81,13.02,71.94,1984.12,Semi-Evergreen,0.108,414,55.39,Medium,44.94
1519.3,17.81,46.92,873.75,Semi-Evergreen,0.834,458,56.2,Medium,58.08
2641.49,15.31,52.94,2854.16,Grassland,0.2,359,52.83,Medium,42.49
988.23,10.86,52.39,1308.18,Evergreen,0.996,270,57.19,Medium,63.14
1522.51,37.28,52.85,1288.09,Semi-Evergreen,0.796,84,26.25,High,37.1
1782.27,10.25,77.11,2034.24,Semi-Evergreen,0.622,255,60.1,Medium,60.4
2096.24,32.08,67.16,2302.71,Deciduous,0.239,96,27.21,High,27.44
3248.12,14.56,56.98,1426.68,Deciduous,0.564,77,46.78,High,46.91
1198.86,37.37,40.44,642.0,Grassland,0.335,119,4.57,High,9.91
2299.82,36.78,31.55,2319.93,Evergreen,0.327,398,41.67,High,34.43
2573.45,29.62,45.32,961.05,Semi-Evergreen,0.847,319,48.98,High,53.07
662.58,30.17,37.52,525.33,Grassland,0.443,480,25.53,High,26.56
2626.41,10.16,84.98,1894.92,Evergreen,0.506,417,76.03,Medium,70.09
1096.83,39.55,37.87,271.36,Deciduous,0.859,479,32.38,High,40.65
727.68,36.33,80.7,2914.06,Grassland,0.179,264,25.97,High,27.18
3821.1,36.85,57.0,1897.19,Evergreen,0.635,400,62.77,Medium,59.69
3879.71,29.78,35.14,2957.69,Semi-Evergreen,0.62,71,48.07,High,45.94
3329.39,20.34,86.89,1016.68,Deciduous,0.483,181,51.48,Medium,52.67
1566.15,36.81,70.57,2913.62,Semi-Evergreen,0.847,210,46.5,High,54.94
841.85,18.75,46.5,436.69,Deciduous,0.949,141,31.49,High,43.26
2894.82,26.88,92.63,122.08,Deciduous,0.519,430,54.54,Medium,56.43
